# uid,board
# uid is the 96-bit STM32 unique device ID read from 0x1FFF7590, hex-encoded, lowercase.
4d0047000a50315154373520,wing-g474
4c0046000a50315154373520,main-g474
1a003d000c50315154373520,wing-g474
1f003d000c50315154373520,main-g474
380049000a50315154373520,main-g474
3f0046000a50315154373520,main-g474
450049000a50315154373520,main-g474
3f0045000a50315154373520,wing-g474
1b003b000c50315154373520,wing-g474
4e0049000a50315154373520,wing-g474
2c004a000d50315154373520,wing-g474
470048000a50315154373520,wing-g474
430048000a50315154373520,wing-g474
350049000a50315154373520,wing-g474
540048000a50315154373520,wing-g474
